college_name,campus,program_name,degree,duration_terms,college_id
Computer Engineering,Alexandria,Computer Engineering,Bachelor,,COMPUTER
Electronics & Communications Engineering,Alexandria,Electronics & Communications Engineering,Bachelor,,ELECTRON
Industrial & Management Engineering,Alexandria,Industrial & Management Engineering,Bachelor,,INDUSTRI
Engineering Postgraduate Studies,Alexandria,Engineering Postgraduate Studies,PhD,,ENGINEER
Energy Research Unit,Alexandria,Energy Research Unit,,,ENERGYRE
College Of Engineering & Technology,"Alamein, Alexandria, Cairo, El Alamein, Heliopolis, Port Said, Smart Village, South Valley, alamein",College Of Engineering & Technology-El Alamein | AASTMT,B.sc,,COLLEGEO
College of Engineering & Technology,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",College of Engineering & Technology-Cairo | AASTMT,M.Sc,,COLLEGEO
Architectural Engineering,"Cairo, cairo",Architectural Engineering-cairo,M.Sc,,ARCHITEC
Basic & Applied Sciences,"Cairo, cairo",Basic & Applied Sciences-cairo,M.Sc,,BASICAPP
Computer Engineering,"Cairo, cairo",Computer Engineering-cairo,M.Sc,,COMPUTER
Construction & Building Engineering,"Cairo, cairo",Construction & Building Engineering-cairo,M.Sc,,CONSTRUC
Electrical Engineering,"Cairo, cairo",Electrical Engineering-cairo,M.Sc,,ELECTRIC
Electronics & Communication Engineering,"Cairo, cairo",Electronics & Communication Engineering-cairo,M.Sc,,ELECTRON
Mechanical  Engineering,"Cairo, cairo",Mechanical  Engineering-cairo,M.Sc,,MECHANIC
College of Engineering and  Technology Syria,Latakia,College of Engineering and  Technology Syria - COE | AASTMT,,,COLLEGEO
Engineering and  Technology Latakia,Latakia,Engineering and  Technology Latakia - COE | AASTMT,,,ENGINEER
College of Engineering & Technology,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",College of Engineering & Technology-Smart Village | AASTMT,Master,,COLLEGEO
Electronics & Communication Engineering,Smart Village,Electronics & Communication Engineering,Master,,ELECTRON
Basic and Applied Sciences,Smart Village,Basic and Applied Sciences,Master,,BASICAND
Electrical Energy Engineering,Smart Village,Electrical Energy Engineering,Master,,ELECTRIC
College Of Engineering & Technology,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",College Of Engineering & Technology-South Valley | AASTMT,,,COLLEGEO
Construction & Building Engineering,"Aswan, South Valley, South valley",Construction & Building Engineering - Aswan,,,CONSTRUC
Architectural Engineering and Environmental Design,South Valley,Architectural Engineering and Environmental Design,,,ARCHITEC
Graduate School of Business,"Alexandria, Cairo, El Alamein, Miami, Port Said",Graduate School of Business-Alexandria | AASTMT,Diploma,,GRADUATE
Graduate School of Business,"Cairo, Heliopolis",Graduate School of Business - Heliopolis | AASTMT,MBA,,GRADUATE
Graduate School of AASTMT,El Alamein,Graduate School of AASTMT - El Alamein | AASTMT,Master,,GRADUATE
Graduate School of Business,"Cairo, Smart Village",Graduate School of Business - Smart Village | AASTMT,MBA,90,GRADUATE
College of Pharmacy,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",College of Pharmacy-Alexandria | AASTMT,Bachelor,,COLLEGEO
College of Pharmacy,"Alamein, Alexandria, Cairo, El Alamein, Heliopolis, Port Said, Smart Village, South Valley, alamein",College of Pharmacy-El Alamein | AASTMT,Bachelor,,COLLEGEO
Placement,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",Placement,,,PLACEMEN
Postgraduate Studies,"Alexandria, Cairo, Dokki, Heliopolis, Port Said, Smart Village, South Valley, alamein",Postgraduate Studies | AASTMT,Diploma,,POSTGRAD
AASTMT Practical Training,"Alamein, Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",AASTMT Practical Training-Alexandria | AASTMT,,,AASTMTPR
Local Achievments,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",Local Achievments | AASTMT,,,LOCALACH
Student Training,"Alexandria, Cairo, El Alamein, Heliopolis, Port Said, Smart Village, South Valley, alamein",Student Training - Engineering Alexandria-Alexandria | AASTMT,,,STUDENTT
Undergraduate Studies,"Alexandria, Cairo, Dokki, El Alamein, Heliopolis, Latakia, Port Said, Smart Village, South Valley, alamein",Undergraduate Studies | AASTMT,,,UNDERGRA
AASTMT Complexes,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",AASTMT Complexes,,,AASTMTCO
International Maritime Organization Compound,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",International Maritime Organization Compound-Alexandria | AASTMT,,,INTERNAT
Arab Dialogue Circle,"Alamein, Alexandria, Cairo, Smart Village",Arab Dialogue Circle,Diploma,,ARABDIAL
Contact,"Alexandria, Aswan, Cairo, Dokki, El Alamein, Heliopolis, Latakia, Miami, Port Said, Smart Village, South Valley, alamein, cairo",Contact | AASTMT,,,CONTACT
Maps and Locations,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",Maps and Locations | AASTMT,,,MAPSANDL
AASTMT DEANERIES,"Alexandria, Cairo, El Alamein, Heliopolis, Port Said, Smart Village, South Valley, alamein",AASTMT DEANERIES,,,AASTMTDE
Community Service and Continuing Education,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",Community Service and Continuing Education-Alexandria | AASTMT,Diploma,8,COMMUNIT
Community Service and Continuing Education,"Alamein, Alexandria, Aswan, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",Community Service and Continuing Education-South Valley | AASTMT,,,COMMUNIT
"Arab Academy for Science, Technology and Maritime Transport","Abu Kir, Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein","Arab Academy for Science, Technology and Maritime Transport- | AASTMT",,,ARABACAD
Entrepreneurship Center,"Alexandria, Cairo, El Alamein, Heliopolis, Port Said, Smart Village, South Valley, alamein",Entrepreneurship Center-Cairo | AASTMT,,,ENTREPRE
Online Registeration,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",Online Registeration | Arab Academy For Science And Technology And Maritime Transport,,,ONLINERE
كلية الهندسة و التكنولوجيا,Alexandria,كلية الهندسة و التكنولوجيا-الإسكندرية | AASTMT,,,كليةالهن
كلية الهندسة و التكنولوجيا,Alexandria,كلية الهندسة و التكنولوجيا-القاهرة | AASTMT,,,كليةالهن
New Applicants,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",New Applicants | AASTMT,master,,NEWAPPLI
Faculty & Staff,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",Faculty & Staff |Arab Academy for Science Technology & Maritime Transport,,,FACULTYS
AASTMT Students,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",AASTMT Students | AASTMT,,100,AASTMTST
AASTMT,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",AASTMT | Visitors,,,AASTMT
"Arab Academy for Science, Technology & Maritime Transport","Alexandria, Cairo, Heliopolis, Port Said, Smart Village","Arab Academy for Science, Technology & Maritime Transport - AASTMT | Institutes",,,ARABACAD
Arab institute for leadership development,"Alexandria, Cairo",Arab institute for leadership development-Alexandria | AASTMT,Master,,ARABINST
PQI,Smart Village,PQI | AASTMT,Master,,PQI
Regional Maritime Security Institute (RMSI),"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",Regional Maritime Security Institute (RMSI)-Alexandria | AASTMT,Diploma,46,REGIONAL
Maritime Education & Training,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",Maritime Education & Training-Alexandria | AASTMT,mba,100,MARITIME
AASTMT Oil and Gas Hub,,AASTMT Oil and Gas Hub,B.Sc,,AASTMTOI
Office of the President,"Alexandria, Cairo",Office of the President | AASTMT,,,OFFICEOF
President Biography,"Alexandria, Cairo",President Biography | AASTMT,Bachelor,,PRESIDEN
AASTMT News,"Alexandria, Cairo",AASTMT News,,,AASTMTNE
Messages & Speeches,"Alexandria, Cairo",Messages & Speeches | AASTMT Office of the President,,,MESSAGES
Business Information Systems,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",Business Information Systems-Alexandria | AASTMT,Bachelor,8,BUSINESS
Scientific Research & Innovation,"Alamein, Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",Scientific Research & Innovation-Alexandria | AASTMT,bsc,,SCIENTIF
AASTMT Announcement Template,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",AASTMT Announcement Template,,,AASTMTAN
AASTMT Events,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",AASTMT Events,Bachelor,,AASTMTEV
AASTMT Gallery,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",AASTMT Gallery,,,AASTMTGA
Research Projects,Alexandria,Research Projects | Homepage,,,RESEARCH
Project Details,,Project Details | AASTMT Research,,8,PROJECTD
Sustainable AASTMT,Alexandria,Sustainable AASTMT-Alexandria | AASTMT,,,SUSTAINA
SUSTAINABLE DEVELOPMENT GOAL 1,,SUSTAINABLE DEVELOPMENT GOAL 1 - No Poverty,,,SUSTAINA
SUSTAINABLE DEVELOPMENT GOAL 4,Alexandria,SUSTAINABLE DEVELOPMENT GOAL 4 - Quality Education,,,SUSTAINA
SUSTAINABLE DEVELOPMENT GOAL 6,,SUSTAINABLE DEVELOPMENT GOAL 6 - Clean Water and Sanitation,,,SUSTAINA
"Arab Academy for Science, Technology & Maritime Transport","Abu Kir, Alamein, Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein","Arab Academy for Science, Technology & Maritime Transport - AASTMT | Services",,100,ARABACAD
About AASTMT,"Alexandria, Cairo",About AASTMT- | AASTMT,,100,ABOUTAAS
Student Affairs,"Alexandria, Cairo, Heliopolis, Miami, Port Said, Smart Village, South Valley, alamein",Student Affairs-Alexandria | AASTMT,mba,,STUDENTA
Student Affairs,"Alamein, Alexandria, Cairo, El Alamein, Heliopolis, Port Said, Smart Village, South Valley, alamein",Student Affairs-El Alamein | AASTMT,mba,100,STUDENTA
Student Affairs,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein, heliopolis",Student Affairs-Cairo | AASTMT,,100,STUDENTA
Student Affairs,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",Student Affairs-Smart Village | AASTMT,,,STUDENTA
AASTMT Students,,AASTMT Students,,,AASTMTST
Arab Academy for Science Technology & Maritime Transport,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",Arab Academy for Science Technology & Maritime Transport | AASTMT,Master,,ARABACAD
AASTMT Success Stories,Alexandria,AASTMT Success Stories,BSc,10,AASTMTSU
AASTMT Awards,Alexandria,AASTMT Awards,,,AASTMTAW
What People say About the Academy,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",What People say About the Academy | AASTMT,,,WHATPEOP
Dr. Gamal Elddin Mokhtar,"Alexandria, Cairo",Dr. Gamal Elddin Mokhtar - the Founder and AASTMT President,doctorate,,DRGAMALE
Words from Esteemed Personalities,"Alamein, Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",Words from Esteemed Personalities | AASTMT,master,,WORDSFRO
Education and Student Affairs,"Alexandria, Cairo, Heliopolis, Port Said, Port said, Smart Village, Smart village, South Valley, South valley, alamein",Education and Student Affairs-Alexandria | AASTMT,,,EDUCATIO
AASTMT Academic Research Papers,"Alexandria, Aswan, Cairo, Dokki, El Alamein, Heliopolis, Port Said, Smart Village, South Valley, alamein, cairo",AASTMT Academic Research Papers,,,AASTMTAC
الإستعلام عن الشهادات,,الإستعلام عن الشهادات,Bachelor,,الإستعلا
Lab Utilization Program,,Lab Utilization Program,,,LABUTILI
Entrepreneurship Center,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",Entrepreneurship Center | AASTMT,,,ENTREPRE
International Education Programs,"Alexandria, Miami",International Education Programs |,,,INTERNAT
University of London – Recognized Teaching Centre,"Cairo, Heliopolis, Smart Village",University of London – Recognized Teaching Centre,mba,40,UNIVERSI
College of Archeology & Cultural Heritage,"Alexandria, Aswan, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",College of Archeology & Cultural Heritage-South Valley | AASTMT,Diploma,,COLLEGEO
College of Art and Design,"Alamein, Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",College of Art and Design-Smart Village | AASTMT,Bachelor,,COLLEGEO
College of Artificial Intelligence,"Alamein, Alexandria, Cairo, El Alamein, Heliopolis, Port Said, Smart Village, South Valley, alamein",College of Artificial Intelligence-El Alamein | AASTMT,Master,,COLLEGEO
College of  Computing & Information Technology,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",College of  Computing & Information Technology-Alexandria | AASTMT,Diploma,,COLLEGEO
College of Fisheries and Aquaculture Technology,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",College of Fisheries and Aquaculture Technology-Alexandria | AASTMT,Diploma,,COLLEGEO
College of Management and Technology,"Alexandria, Cairo, Heliopolis, Miami, Port Said, Smart Village, South Valley, alamein",College of Management and Technology-Alexandria | AASTMT,MSc,,COLLEGEO
College of Maritime Transport and Technology,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",College of Maritime Transport and Technology-Alexandria | AASTMT,bachelor,,COLLEGEO
College of Dentistry,"Alamein, Alexandria, Cairo, El Alamein, Heliopolis, Port Said, Smart Village, South Valley, alamein",College of Dentistry-El Alamein | AASTMT,Bachelor,,COLLEGEO
College of Law,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",College of Law-Smart Village | AASTMT,Bachelor,,COLLEGEO
College of Medicine,"Alamein, Alexandria, Cairo, El Alamein, Heliopolis, Port Said, Smart Village, South Valley, alamein",College of Medicine-El Alamein | AASTMT,Diploma,,COLLEGEO
Community Service and Continuing Education,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",Community Service and Continuing Education-Cairo | AASTMT,diploma,,COMMUNIT
AASTMT Event Template,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",AASTMT Event Template,Bachelor,,AASTMTEV
,heliopolis,,,,
